id,url,tweet,date,retweetCount,replyCount,likeCount,quoteCount,viewCount,inReplyToUsername,author/followers,author/following,author/userName,cleaned_words,month_year,sentiment,confidence,polarity
1897704298512810500,https://x.com/harmabeo/status/1897704298512810421,let your face shine upon me,2025-03-06 17:42:00,0,0,0,0,8.0,symplyDAPO,3284,3354,harmabeo,let face shine upon,2025-03,positive,0.7930515,1
1897698619827868000,https://x.com/Okwudili90/status/1897698619827867784,na me be number,2025-03-06 17:19:00,0,0,0,0,8.0,Mc_Phils,1170,1355,Okwudili90,number,2025-03,neutral,0.64840114,0
1897696694000583000,https://x.com/TheGooodFriend/status/1897696694000582860,leggooo,2025-03-06 17:12:00,0,0,0,0,13.0,Mc_Phils,239,463,TheGooodFriend,leggooo,2025-03,neutral,0.4802075,0
1897696721884336600,https://x.com/TheGooodFriend/status/1897696721884336534,leggoooo,2025-03-06 17:12:00,0,0,0,0,4.0,symplyDAPO,239,463,TheGooodFriend,leggoooo,2025-03,neutral,0.45964882,0
1897696427804897500,https://x.com/youngvallen123/status/1897696427804897460,pick me as,2025-03-06 17:11:00,0,0,0,0,9.0,Mc_Phils,1164,886,youngvallen123,pick,2025-03,neutral,0.72052395,0
1897694477164191700,https://x.com/the_ayodamola/status/1897694477164191780,god bless you abundantly sir,2025-03-06 17:03:00,0,0,0,0,8.0,symplyDAPO,10191,10175,the_ayodamola,god bless abundantly sir,2025-03,positive,0.95226735,1
1897693753038532900,https://x.com/Mc_Phils/status/1897693753038532833,i will pick  also,2025-03-06 17:00:00,0,3,1,1,661.0,symplyDAPO,134042,11,Mc_Phils,pick also,2025-03,neutral,0.7232285,0
1897691543512789200,https://x.com/esepalmerr/status/1897691543512789241,cardtonic is great,2025-03-06 16:51:00,0,0,0,0,7.0,iamAbiodunAA,1603,1470,esepalmerr,cardtonic great,2025-03,positive,0.9702477,1
1897691128679584000,https://x.com/Emmyzyl2003/status/1897691128679584118,stay blessed,2025-03-06 16:49:00,0,0,0,0,11.0,symplyDAPO,523,1271,Emmyzyl2003,stay blessed,2025-03,positive,0.8728801,1
1897690955366457900,https://x.com/bello_adefunke/status/1897690955366457814,wowamazing,2025-03-06 16:49:00,0,0,0,0,26.0,symplyDAPO,10953,616,bello_adefunke,wowamazing,2025-03,positive,0.8177941,1
1897689050850685200,https://x.com/Kklazzique/status/1897689050850685180,i just love the way you care about othersthis is a special gift from godyou are forever blessed,2025-03-06 16:41:00,0,0,0,0,19.0,symplyDAPO,7401,6453,Kklazzique,love way care othersthis special gift godyou forever blessed,2025-03,positive,0.99050313,1
