id,url,fullText,createdAt,retweetCount,replyCount,likeCount,quoteCount,viewCount,inReplyToUsername,author/followers,author/following,author/userName
1621720000000000000,https://x.com/cardtonicAid/status/1621722744978038784,@chika_udoka What about the killing in Delta State Sapele everyday by day,2023-02-04 04:10,0,0,0,0,17,chika_udoka,417,3463,cardtonicAid
1621580000000000000,https://x.com/cardtonic/status/1621578147614302209,"@addison_kinsley Hi Jemeka,

We are so sorry for the inconvenience this may have caused you.

Kindly note that recent challenges with banking in Nigeria may cause some delay with payment.

Rest assured we�re working hard to ensure our customers have the ",2023-02-03 18:35,0,0,0,0,64,addison_kinsley,15755,48,cardtonic
1621490000000000000,https://x.com/addison_kinsley/status/1621491930721882112,@cardtonic I trade card with cardtonic yesterday but the money they sent never enter now telling I should wait till 24 hours will the person that gives me work will understand this since yesterday now tell me to contact my bank are they not the one that s,2023-02-03 12:52,0,1,0,0,67,cardtonic,205,957,addison_kinsley
1621200000000000000,https://x.com/BoiLoDdi/status/1621202748845744134,@Allpoint @CapitalOne @Target @TargetNews @CapitalOneBiz @cardtonic Yesterday we deposited rent money in this ATM. After taking the money it shut down and restarted itself. It took the card and money. No credit to the account and card never came back out.,2023-02-02 17:43,0,1,0,0,99,Allpoint,256,774,BoiLoDdi
1621100000000000000,https://x.com/cardtonic/status/1621100230975574018,"The difference between a good deal and getting ripped off, is information.

You can now buy all your gift cards on Cardtonic ????

Get the most affordable prices on all major gift cards, and also reward points only on Cardtonic ??

Sweet deal innit? ??

#cardtonic https://t.co/gBJzlnntrx",2023-02-02 10:56,0,0,6,0,428,,15755,48,cardtonic
1620740000000000000,https://x.com/cardtonic/status/1620736084257964033,"You survived the worst of it.
After all the complains of a long January� look at you here.
Winning. Shining. Ready to go again.

Nothing can stop you.
You win. SAPA loses.

Happy new month boss! https://t.co/ybpwo4OgLO",2023-02-01 10:49,0,0,7,0,381,,15755,48,cardtonic
1620480000000000000,https://x.com/cardtonic/status/1620481021958586368,Last day of the month: What have you started doing to achieve your goals? ??,2023-01-31 17:55,0,1,0,0,530,,15755,48,cardtonic
1620450000000000000,https://x.com/cardtonic/status/1620447229571108865,"Ever wondered why we strive to ensure your maximum satisfaction?

It is because of beautiful feedback like these. Making you happy makes us happy.

That�s why we are Cardtonic ????

#cardtonic https://t.co/CX7adVmQXX",2023-01-31 15:41,0,0,0,0,378,,15755,48,cardtonic
1620330000000000000,https://x.com/cardtonic/status/1620325716356374528,"@dodonamso Cool ??

Anything special to look forward to when visiting?",2023-01-31 07:38,0,0,0,0,38,dodonamso,15755,48,cardtonic
1620330000000000000,https://x.com/cardtonic/status/1620325582625206282,"@sammynexy Maddddd ??
We will check it out one of these days.

It�s the bushmeat for me ??",2023-01-31 07:38,0,0,0,0,52,nexybees,15755,48,cardtonic
1620230000000000000,https://x.com/nexybees/status/1620234443251392519,@cardtonic Well there�s this lounge called Dell lounge and suites� where I do get bushmeat and cold chivita in my area at ikotun ?? don�t forget to take your kush  ?? along though ?? it�s gonna be worth it ??,2023-01-31 01:36,0,1,0,0,67,cardtonic,51,634,nexybees
1620150000000000000,https://x.com/dodonamso/status/1620153083451031553,"@cardtonic Ochacho Hotels ??????
In Oturkpo Benue state",2023-01-30 20:12,0,1,0,0,44,cardtonic,443,1787,dodonamso
1620140000000000000,https://x.com/cardtonic/status/1620144633912393729,"How do you guys relax after a long day at work? ??

Point us to the  best hangout spots in  your state??",2023-01-30 19:39,1,2,7,0,725,,15755,48,cardtonic
1621580000000000000,https://x.com/cardtonic/status/1621578147614302209,"@addison_kinsley Hi Jemeka,

We are so sorry for the inconvenience this may have caused you.

Kindly note that recent challenges with banking in Nigeria may cause some delay with payment.

Rest assured we�re working hard to ensure our customers have the ",2023-02-03 18:35,0,0,0,0,64,addison_kinsley,15755,48,cardtonic
1621490000000000000,https://x.com/addison_kinsley/status/1621491930721882112,@cardtonic I trade card with cardtonic yesterday but the money they sent never enter now telling I should wait till 24 hours will the person that gives me work will understand this since yesterday now tell me to contact my bank are they not the one that s,2023-02-03 12:52,0,1,0,0,67,cardtonic,205,957,addison_kinsley
1621200000000000000,https://x.com/BoiLoDdi/status/1621202748845744134,@Allpoint @CapitalOne @Target @TargetNews @CapitalOneBiz @cardtonic Yesterday we deposited rent money in this ATM. After taking the money it shut down and restarted itself. It took the card and money. No credit to the account and card never came back out.,2023-02-02 17:43,0,1,0,0,99,Allpoint,256,774,BoiLoDdi
1621100000000000000,https://x.com/cardtonic/status/1621100230975574018,"The difference between a good deal and getting ripped off, is information.

You can now buy all your gift cards on Cardtonic ????

Get the most affordable prices on all major gift cards, and also reward points only on Cardtonic ??

Sweet deal innit? ??

#cardtonic https://t.co/gBJzlnntrx",2023-02-02 10:56,0,0,6,0,428,,15755,48,cardtonic
