id,url,tweet,date,retweetCount,replyCount,likeCount,quoteCount,viewCount,inReplyToUsername,author/followers,author/following,author/userName,cleaned_words,month_year,sentiment,confidence,polarity
1897652006761718000,https://x.com/figo_regime/status/1897652006761718062,it is better you reply my dm before i send proof to verydarkman and get justice and nigeria will stop trading with you,2025-03-06 14:14:00,0,0,0,0,6.0,cardtonic,352,2469,figo_regime,better reply dm send proof verydarkman get justice nigeria stop trading,2025-03,negative,0.49214524,-1
1897651837181874700,https://x.com/figo_regime/status/1897651837181874630,you guys ripped me,2025-03-06 14:13:00,0,0,0,0,3.0,cardtonic,352,2469,figo_regime,guys ripped,2025-03,negative,0.93478084,-1
1897547925200199700,https://x.com/iamDjSteve/status/1897547925200199782,there rates are way better than  infact i had to deactivate and delete the chipper app greedy bastards,2025-03-06 07:20:00,0,0,1,0,7.0,iamAbiodunAA,513,569,iamDjSteve,rates way better infact deactivate delete chipper app greedy bastards,2025-03,negative,0.5269889,-1
1897416589034840300,https://x.com/John70944471850/status/1897416589034840412,you guys should work on your app ona dey take forever to pay and e no sharp,2025-03-05 22:39:00,0,1,1,0,14.0,cardtonic,9,148,John70944471850,guys work app ona dey take forever pay e sharp,2025-03,negative,0.5362606,-1
1897397623306465500,https://x.com/EDominions80621/status/1897397623306465549,theyre very slow in trading and payments,2025-03-05 21:23:00,0,1,0,0,46.0,symplyDAPO,35,501,EDominions80621,theyre slow trading payments,2025-03,negative,0.8978546,-1
1897328883340542200,https://x.com/JohnAjile/status/1897328883340542105,i have tried doing it but i dont the how to do it,2025-03-05 16:50:00,0,0,0,0,110.0,symplyDAPO,120,1221,JohnAjile,tried,2025-03,negative,0.6755619,-1
1897249525385068800,https://x.com/haloverrar/status/1897249525385068841,your customer service cant do shit about it they lied its a bad asset a whopping sum of k,2025-03-05 11:35:00,0,0,0,0,12.0,cardtonic,1296,2140,haloverrar,customer service shit lied bad asset whopping sum k,2025-03,negative,0.9748011,-1
1896917031968223500,https://x.com/Tz_ohhbeejay/status/1896917031968223556,cardbrother review for ig no good at all  and their rate no too differ from cardtonic,2025-03-04 13:33:00,0,0,0,1,37.0,Richard53797900,337,440,Tz_ohhbeejay,cardbrother review ig good rate differ cardtonic,2025-03,negative,0.8479991,-1
1896894282986131700,https://x.com/mister_YB/status/1896894282986131708,thieves have dumped them and uninstall their app try grey or cardtonic,2025-03-04 12:03:00,0,0,1,0,72.0,bigmorsh,3269,3504,mister_YB,thieves dumped uninstall app try grey cardtonic,2025-03,negative,0.90198016,-1
1896830338816688600,https://x.com/Miguel_is_back/status/1896830338816688535,person no trust vendor person still no fit trust all this app again nawa ooo   konidafun yin,2025-03-04 07:49:00,0,4,1,1,329.0,,298,1375,Miguel_is_back,person trust vendor person still fit trust app nawa ooo konidafun yin,2025-03,negative,0.69470507,-1
1896790224908571100,https://x.com/mary_m90204/status/1896790224908571080,cardtonic and ant dog i pity all of una wey won go trade for there god go will help me,2025-03-04 05:10:00,0,1,1,0,128.0,madpinkin,53,454,mary_m90204,cardtonic ant dog pity una wey trade god help,2025-03,negative,0.5889895,-1
1896785292314739000,https://x.com/Miguel_is_back/status/1896785292314738840,yall are scammers,2025-03-04 04:50:00,0,1,0,0,29.0,cardtonic,298,1375,Miguel_is_back,yall scammers,2025-03,negative,0.95567626,-1
1896750831816626400,https://x.com/herdeylekan/status/1896750831816626362,cardtonic never scam you before,2025-03-04 02:33:00,0,1,0,0,507.0,madpinkin,812,998,herdeylekan,cardtonic never scam,2025-03,negative,0.5141603,-1
1896699910759780400,https://x.com/Teetrump001/status/1896699910759780354,your customer service is totally shit,2025-03-03 23:11:00,0,0,0,0,20.0,cardtonic,28,65,Teetrump001,customer service totally shit,2025-03,negative,0.9813736,-1
1896676315736273400,https://x.com/DreamArts89/status/1896676315736273304,why the delay since about an hour,2025-03-03 21:37:00,0,1,0,0,39.0,cardtonic,7,83,DreamArts89,delay since hour,2025-03,negative,0.52352494,-1
1896638520787357700,https://x.com/Miraclepri5977/status/1896638520787357731,is fucking poor come and use my own rate,2025-03-03 19:07:00,0,0,0,0,28.0,symplyDAPO,11,205,Miraclepri5977,fucking poor come use rate,2025-03,negative,0.9553225,-1
1896617717836484600,https://x.com/Pendragon0101/status/1896617717836484641,cardtonic sure die,2025-03-03 17:44:00,0,0,1,0,336.0,madpinkin,124,386,Pendragon0101,cardtonic sure die,2025-03,negative,0.72309417,-1
1896606928010412300,https://x.com/Tz_ohhbeejay/status/1896606928010412202,why the delay,2025-03-03 17:01:00,0,1,0,0,37.0,cardtonic,337,440,Tz_ohhbeejay,delay,2025-03,negative,0.5878748,-1
1896598699071111400,https://x.com/haloverrar/status/1896598699071111513,on their days theyre good but if dem wan rip you u go cry and theres nothing you can do about it dump their silly ass app with bad customer service,2025-03-03 16:29:00,0,2,0,0,64.0,symplyDAPO,1296,2140,haloverrar,days theyre good dem wan rip cry theres nothing dump silly ass app bad customer service,2025-03,negative,0.96340203,-1
